"gene","protocol_rho","effect_d"
"ACOT7",-0.722332015810277,-1.75109021196074
"ACOT8",-0.731225296442688,-1.89376153762794
"ACOT9",-0.745059288537549,-1.06396295219996
"ACOX1",-0.771739130434783,-2.50433856475123
"ACOX2",0.25098814229249,-0.0203737606888883
"ACOX3",0.016798418972332,0.00140377144763587
"ACOXL",0.082036078610185,0.139216542934564
"ACP1",-0.778656126482213,-1.73444563249573
"ACP2",-0.755928853754941,-2.34839543934453
"ACP3",0.417408710616851,0.57787188148268
"ACP4",0.694664031620553,1.57045523274447
"ACP5",0.227823085778887,-0.265300840884761
"ACP6",-0.338932806324111,-0.277110950377187
"ACR",0.488142292490119,0.559494824282425
"ACRBP",0.368577075098814,0.331885976626932
"ACRV1",0.756916996047431,1.5288433506425
"ACSBG1",-0.233201581027668,-0.662063676741234
"ACSBG2",0.419985480706479,0.730341077210065
"ACSF2",0.303359683794466,0.461398052233977
"ACSF3",0.464656507584496,1.16528040372097
"ACSL1",-0.33596837944664,-0.446819698577356
"ACSL3",-0.786561264822134,-2.06459679514969
"ACSL4",-0.66699604743083,-0.710554484023807
"ACSL5",0.0889328063241107,-0.467044993951706
"ACSL6",-0.803359683794466,-1.55174316123708
"ACSM1",0.271018925850752,-0.10493086530999
"ACSM2A",0.516798418972332,0.887790300108209
"ACSM2B",0.301457879230198,0.272016070840745
"ACSM3",0.147910080955521,-0.319638346702887
"ACSM5",0.275964526687444,0.415770940631255
"ACSS1",-0.395256916996047,-0.974469518187148
"ACSS2",-0.354743083003953,-1.00266419560943
"ACSS3",0.0909090909090909,0.284816016105196
"ACTA1",0.391497823411618,0.872929593978788
"ACTA2",-0.0207509881422925,0.366916144114905
"ACTA2-AS1",0.33596837944664,0.165419117898753
"ACTB",-0.769762845849802,-5.33251512010241
"ACTC1",0.160079051383399,-0.744842963979145
"ACTG1",-0.816205533596838,-2.28575087463022
"ACTG1P17",0.617741555799586,0.526804351131744
"ACTG1P25",0.00345935271247768,-0.267493262471915
"ACTG2",0.16699604743083,0.0437532397340867
"ACTL10",0.0400296528158132,-0.304591270686433
"ACTL6A",-0.245614042585915,-0.188502239746778
"ACTL6B",-0.384976537574302,-0.432839073554875
"ACTL7A",0.653162055335968,0.721576058835818
"ACTL7B",0.1793921478042,0.174350536159154
"ACTL8",0.075098814229249,-0.40683410624676
"ACTL9",0.412055335968379,0.291661076826349
"ACTMAP",0.718379446640316,1.93810835926491
"ACTN1",0.0128458498023715,0.026297786019271
"ACTN2",-0.50296442687747,-0.961180774948618
"ACTN3",0.285643695401729,0.341080656348954
"ACTN4",0.469367588932806,0.902188336162534
"ACTR10",-0.651840889679723,-1.36998491763833
"ACTR1A",-0.679841897233202,-1.76868447777273
"ACTR1B",-0.74901185770751,-1.88807419249936
"ACTR2",-0.613636363636364,-0.756341659327993
"ACTR3",-0.485177865612648,-0.668893901718606
"ACTR3-AS1",-0.0256980487212628,-0.293838975042329
"ACTR3B",-0.238142292490119,-0.109955315310777
"ACTR3BP2",0.115404019063191,-0.137832505810707
"ACTR3BP5",0.320158102766798,0.26770881931901
"ACTR3BP6",-0.33201581027668,-1.03836430525532
"ACTR3C",0.142292490118577,0.299511553256724
"ACTR5",-0.222332015810277,-0.290301055873425
"ACTR6",-0.516798418972332,-0.964429228802875
"ACTR8",-0.629446640316205,-3.35208161645992
"ACTRT2",0.525691699604743,0.423639576413893
"ACTRT3",0.233259211469924,-0.304470231743363
"ACVR1",-0.406126482213439,-0.736594547807161
"ACVR1B",-0.091897233201581,-0.365330048230346
"ACVR1C",-0.672924901185771,-1.33595696281349
"ACVR2A",-0.358695652173913,-0.648449914953458
"ACVR2B",-0.436866828261467,-0.895041010748499
"ACVR2B-AS1",0.3874475037975,0.27785341149548
"ACVRL1",0.0632411067193676,0.159878794218727
"ACY1",0.517786561264822,0.907296619606322
"ACY3",-0.24604743083004,-0.985188705386855
"ACYP1",-0.730237154150198,-1.26919905371953
"ACYP2",-0.766798418972332,-1.50065095777402
"ADA",0.142292490118577,0.249539744347681
"ADA2",-0.182806324110672,-0.360215537593964
"ADAD1",0.535573122529644,1.00090160319246
"ADAD2",0.0474308300395257,-0.749561404894011
"ADAL",-0.349394623960246,-0.291372544203212
"ADAM10",-0.552371541501976,-0.828248948795093
"ADAM11",-0.0815418853655454,-0.508088082549599
"ADAM12",-0.041501976284585,-0.271737186806917
"ADAM15",0.24901185770751,0.0649480236362183
"ADAM17",-0.571146245059289,-1.56859388350221
"ADAM18",0.593873517786561,0.621842583531645
"ADAM19",-0.396245059288538,-0.87845605275123
"ADAM2",-0.0880316948931273,0.104395747409494
"ADAM20",0.364220421299436,0.172944530551288
"ADAM21",0.00741473150400791,-0.439698130369725
"ADAM22",-0.857707509881423,-2.37463764933645
"ADAM23",-0.855731225296443,-2.58147930615909
"ADAM28",0.487154150197628,0.612896650817769
"ADAM29",0.485885590991377,0.725513626229424
"ADAM30",0.344861660079051,0.466810529437204
"ADAM32",-0.0306324110671937,-0.347502104335997
"ADAM33",0.766798418972332,2.30193620948102
"ADAM3A",0.347826086956522,0.257584553082112
"ADAM3B",0.59629188216702,0.72490096266009
"ADAM5",0.254940711462451,0.264155371875827
"ADAM6",0.462679245850093,0.278936724362437
"ADAM7",0.0237212757427041,-0.212777335079463
"ADAM7-AS2",-0.00543612569103636,-0.373553208910669
"ADAM8",0.367588932806324,0.086101310403286
"ADAM9",-0.805335968379447,-1.60364813639997
"ADAMDEC1",-0.0795651123869867,-0.651103072875674
"ADAMTS1",-0.259881422924901,-0.689418573923793
"ADAMTS10",0.58399209486166,0.813285686481371
"ADAMTS12",0.479249011857708,0.549893852614374
"ADAMTS13",0.348900430715606,0.525660925669538
