category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
PMID	PMID:36930708	5	29	9606	CLCF1,IL27,CNTF,CNTFR,CRLF1	CLCF1,IL27,CNTF,CNTFR,CRLF1	1.43e-11	4.09e-05	(2023) Structural insights into the assembly of gp130 family cytokine signaling complexes.
PMID	PMID:26198769	4	5	9606	CLCF1,IL27,CNTFR,CRLF1	CLCF1,IL27,CNTFR,CRLF1	1.43e-11	4.09e-05	(2015) Cardiotrophin-like cytokine factor 1 (CLCF1) and neuropoietin (NP) signalling and their roles in development, adulthood, cancer and degenerative disorders.
PMID	PMID:17436251	4	6	9606	CLCF1,CNTF,CNTFR,CRLF1	CLCF1,CNTF,CNTFR,CRLF1	2.38e-11	4.09e-05	(2007) Mutations in cytokine receptor-like factor 1 (CRLF1) account for both Crisponi and cold-induced sweating syndromes.
PMID	PMID:16782820	4	4	9606	CLCF1,CNTF,CNTFR,CRLF1	CLCF1,CNTF,CNTFR,CRLF1	7.95e-12	4.09e-05	(2006) Inactivation of cardiotrophin-like cytokine, a second ligand for ciliary neurotrophic factor receptor, leads to cold-induced sweating syndrome in a patient.
PMID	PMID:34073576	6	107	9606	IL17RC,CLCF1,IL27,CNTF,CNTFR,CRLF1	IL17RC,CLCF1,IL27,CNTF,CNTFR,CRLF1	5.15e-11	5.3e-05	(2021) Interleukins and Interleukin Receptors Evolutionary History and Origin in Relation to CD4+ T Cell Evolution.
PMID	PMID:35402550	5	48	9606	CLCF1,IL27,CNTF,CNTFR,CRLF1	CLCF1,IL27,CNTF,CNTFR,CRLF1	1.47e-10	0.00013	(2022) The Role of Interleukin-6 Family Members in Cardiovascular Diseases.
PMID	PMID:29507344	4	12	9606	CLCF1,CNTF,CNTFR,CRLF1	CLCF1,CNTF,CNTFR,CRLF1	2.06e-10	0.00015	(2018) Effect of human very low-density lipoproteins on cardiotrophin-like cytokine factor 1 (CLCF1) activity.
PMID	PMID:35328707	5	55	9606	TNFRSF11B,IL27,CNTF,CNTFR,TNFRSF11A	TNFRSF11B,IL27,CNTF,CNTFR,TNFRSF11A	2.78e-10	0.00018	(2022) Stimulation of Osteoclast Formation by Oncostatin M and the Role of WNT16 as a Negative Feedback Regulator.
PMID	PMID:35055176	5	59	9606	TNFRSF11B,CLCF1,CNTF,CNTFR,CRLF1	TNFRSF11B,CLCF1,CNTF,CNTFR,CRLF1	3.88e-10	0.00022	(2022) CRLF1 and CLCF1 in Development, Health and Disease.
PMID	PMID:33430863	4	16	9606	CLCF1,CNTF,CNTFR,CRLF1	CLCF1,CNTF,CNTFR,CRLF1	5.48e-10	0.00028	(2021) Association of cardiotrophin-like cytokine factor 1 levels in peripheral blood mononuclear cells with bone mineral density and osteoporosis in postmenopausal women.
PMID	PMID:28058407	4	19	9606	CLCF1,CNTF,CNTFR,CRLF1	CLCF1,CNTF,CNTFR,CRLF1	1e-09	0.00047	(2016) Neuropathies of Stuve-Wiedemann Syndrome due to mutations in leukemia inhibitory factor receptor (LIFR) gene.
PMID	PMID:25843671	4	19	9606	CLCF1,CNTF,CNTFR,CRLF1	CLCF1,CNTF,CNTFR,CRLF1	1e-09	0.00047	(2015) Janus kinase 2signal transducer and activator of transcription 3 inhibitors attenuate the effect of cardiotrophin-like cytokine factor 1 and human focal segmental glomerulosclerosis serum on glomerular filtration barrier.
