genes,transfer_auc,within_auc
"BCL2,LINC01503,CAMK1",0.8153846153846154,0.7230769230769232
"KLF9,MMP16,PJA1",0.7692307692307693,1.0
"GFAP,RASSF2,CGNL1",0.23076923076923075,0.48461538461538456
"RAB27A,COL6A1,NYAP2",0.8769230769230769,0.9153846153846154
"CCNA1,RMI2,COL4A2",0.676923076923077,0.6846153846153846
"ITGB2-AS1,OXR1,NLN",0.7538461538461538,0.823076923076923
"ANGPT1,DRC1,ULK2",0.8307692307692307,0.8230769230769232
"GALNT9,C4A,KIF9",0.8307692307692307,0.7692307692307693
"PPP1R2,CXCL12,ITSN1",0.8153846153846154,0.8076923076923077
"BDNF-AS,RAB30,PRKCH",0.34615384615384615,0.26923076923076916
"TRAPPC13,SDHAF4,FAM226A",0.8153846153846154,0.9923076923076923
"RRP12,TRIM47,OLA1",0.7538461538461538,0.8923076923076922
"LHFPL2,MGC16275,MCC",0.2692307692307692,0.5307692307692308
"RUNDC3B,HHATL,NMRK1",0.7923076923076923,0.7923076923076923
"SLC16A9,PADI2,DACT1",0.38461538461538464,0.6692307692307692
"PMS2P2,PSPHP1,BAZ2B",0.3538461538461538,0.21153846153846154
"SCN2B,ANP32B,CDHR1",0.9846153846153847,0.9846153846153847
"BMAL2,TCIRG1,SERPINE2",0.7730769230769231,0.8384615384615386
"NR4A1,NHLH2,CRY1",0.5,0.7076923076923076
"FBXO15,FBLN1,C1R",0.5692307692307692,0.5
"MOSPD1,CGREF1,ENTREP1",0.823076923076923,0.7846153846153846
"CTXN1,EPHX2,CAV2",0.3076923076923077,0.8076923076923077
"SULT4A1,EEF1E1,RAB39B",0.8307692307692308,0.9384615384615385
"DIAPH2,PITHD1,PPP1R17",0.976923076923077,0.9615384615384616
"PHYHD1,SLC39A4,TRPV1",0.5153846153846153,0.5
"ENTPD4,ARL5B,HLA-DRB1",0.7846153846153846,0.6307692307692307
"FRAT2,ANXA2,SSPN",0.7538461538461538,0.6846153846153846
"MYH11,TUBB4A,PRC1",0.6692307692307692,0.9461538461538461
"PARD3B,PDLIM1,PDGFRA",0.7461538461538461,0.6153846153846154
"FEZF2,LAYN,HCCS",0.9692307692307693,0.9615384615384616
"PTHLH,TBC1D2B,NAP1L2",0.7307692307692307,0.32307692307692304
"TP53TG3,ITPRIPL2,HES4",0.16153846153846152,0.6923076923076922
"CYP46A1,CERS2,KLF12",0.11538461538461539,0.8461538461538461
"KCNA2,FOXO3B,WBP2NL",0.4076923076923077,0.8461538461538461
"GXYLT2,TFEC,ERV3-2",0.5,0.13846153846153847
"SMCHD1,MYH10,ENTPD2",0.7307692307692308,0.9
"ABCB1,CIBAR1,CYP4X1",0.6000000000000001,0.8615384615384616
"ASCC1,LOC101928817,CRNDE",0.7000000000000001,0.7076923076923076
"NACC2,MATN1-AS1,HLA-DRB1",0.3,0.6384615384615384
"PRICKLE1,AOPEP,CHODL",0.21538461538461537,0.7461538461538462
"HLA-DMB,GAP43,LOC728392",0.6,0.8923076923076924
"FAM110C,AKIRIN2,MATN2",0.9923076923076923,1.0
"ERAP2,TGM2,FBLN1",0.5,0.3269230769230769
"C8orf34-AS1,HLA-DQB1,EBI3",0.5,0.8307692307692308
"CBLN1,BAMBI,PRR5",0.3384615384615384,0.4538461538461539
"DNAH9,GNG5,SACS",0.7384615384615384,0.5538461538461539
"DCC,P4HA2,PLEKHG5",0.4538461538461538,0.3538461538461538
"FAM43A,PDIA3,ZNF678",0.5,0.7
"PDE10A,AGBL2,LBR",0.6,0.6307692307692307
"IL11RA,THOC3,TMTC4",0.8692307692307693,0.8615384615384616
"DMXL2,CPNE9,SNORC",0.823076923076923,0.8076923076923077
"SH3PXD2A,IFIH1,PTGR1",0.4076923076923077,0.9076923076923078
"OTX2-AS1,NOTCH3,ASS1",0.5,0.6692307692307693
"AIM2,RBM43,NT5DC2",0.6615384615384615,0.8923076923076924
"FHOD3,FIBIN,MFAP3L",0.7230769230769231,0.8692307692307693
"CAMK1,IL10RA,TMBIM1",0.8153846153846154,0.7846153846153846
"ABI3BP,VMP1,DSEL",0.7615384615384615,0.7230769230769232
"SPAG6,CSMD1,NAA16",0.2769230769230769,0.5076923076923077
"EPS8,CMTR2,KCNC1",0.38461538461538464,0.45
"RIPOR2,ADAMTS9-AS2,SLC7A2",0.4615384615384615,0.5
"TMTC1,NHLH2,RRP15",0.5538461538461539,0.7153846153846154
"RPAP3,TGM3,IL17RD",0.8692307692307693,0.7769230769230768
"MICU3,ECHDC2,CEP44",0.3846153846153846,0.7769230769230769
"LYSMD2,ZNF800,ROPN1L",0.7615384615384615,0.976923076923077
"LCP1,OPA1,RAC3",0.7,0.8923076923076924
"SCRT1,CAPZA2,GJB1",0.4538461538461538,0.43076923076923074
"TSPYL2,TXNIP,PCDHB4",0.46923076923076923,0.7153846153846152
"HYDIN2,GPR137C,ITGA4",0.6692307692307692,0.9538461538461539
"RAC2,DLX1,SLC6A9",0.7307692307692308,0.4615384615384615
"TTLL7,SLBP,RGS2",0.7538461538461538,0.9461538461538461
"NKX1-2,ZBED6,ATP6V0B",0.9,0.9307692307692308
